data,nivel cm,ARIMA_predistion,GARCH_prediction,ARIMA-LSTM_Pred
2021-10-31,244,529.9784566949586,,
2021-11-01,246,529.8832563350679,,559.3819991642193
2021-11-02,251,529.7883438560268,,
2021-11-03,252,529.6937183872986,,
2021-11-04,256,529.5993790609796,,
2021-11-05,260,529.5053250117899,,
2021-11-06,267,529.4115553770667,,
2021-11-07,269,529.3180692967559,,
2021-11-08,269,529.2248659134038,,
2021-11-09,274,529.1319443721497,,
2021-11-10,265,529.0393038207183,,
2021-11-11,257,528.9469434094109,,
2021-11-12,256,528.8548622910988,,
2021-11-13,256,528.7630596212147,,
2021-11-14,260,528.6715345577453,,
2021-11-15,262,528.5802862612235,,
2021-11-16,265,528.4893138947206,,
2021-11-17,270,528.3986166238391,,
2021-11-18,277,528.3081936167041,,
2021-11-19,283,528.2180440439566,,
2021-11-20,285,528.1281670787457,,
2021-11-21,294,528.0385618967205,,
2021-11-22,299,527.9492276760229,,
2021-11-23,304,527.8601635972805,,
2021-11-24,304,527.771368843598,,
2021-11-25,305,527.6828426005509,,
2021-11-26,306,527.594584056177,,
2021-11-27,303,527.50659240097,,
2021-11-28,307,527.4188668278709,,
2021-11-29,311,527.3314065322618,,
2021-11-30,317,527.2442107119573,,
2021-12-01,321,527.1572785671983,,556.6560213963497
2021-12-02,331,527.0706093006437,,
2021-12-03,338,526.9842021173639,,
2021-12-04,345,526.8980562248329,,
2021-12-05,350,526.8121708329213,,
2021-12-06,358,526.726545153889,,
2021-12-07,369,526.6411784023779,,
2021-12-08,371,526.5560697954052,,
2021-12-09,373,526.4712185523551,,
2021-12-10,374,526.3866238949729,,
2021-12-11,378,526.3022850473571,,
2021-12-12,381,526.2182012359526,,
2021-12-13,385,526.1343716895433,,
2021-12-14,390,526.0507956392453,,
2021-12-15,394,525.9674723184997,,
2021-12-16,401,525.884400963066,,
2021-12-17,408,525.8015808110141,,
2021-12-18,414,525.7190111027185,,
2021-12-19,421,525.6366910808504,,
2021-12-20,430,525.5546199903713,,
2021-12-21,433,525.4727970785259,,
2021-12-22,437,525.3912215948351,,
2021-12-23,445,525.3098927910893,,
2021-12-24,446,525.2288099213413,,
2021-12-25,452,525.1479722418998,,
2021-12-26,452,525.0673790113223,,
2021-12-27,457,524.9870294904083,,
2021-12-28,462,524.9069229421928,,
2021-12-29,466,524.8270586319389,,
2021-12-30,473,524.7474358271323,,
2021-12-31,485,524.668053797473,,
2022-01-01,494,524.5889118148698,,554.0876546440212
2022-01-02,500,524.5100091534331,,
2022-01-03,512,524.4313450894683,,
2022-01-04,520,524.3529189014694,,
2022-01-05,527,524.2747298701119,,
2022-01-06,538,524.1967772782467,,
2022-01-07,542,524.1190604108934,,
2022-01-08,550,524.0415785552335,,
2022-01-09,552,523.9643310006041,,
2022-01-10,553,523.8873170384912,,
2022-01-11,555,523.8105359625235,,
2022-01-12,557,523.7339870684656,,
2022-01-13,557,523.6576696542116,,
2022-01-14,558,523.581583019779,,
2022-01-15,560,523.5057264673017,,
2022-01-16,561,523.430099301024,,
2022-01-17,565,523.3547008272943,,
2022-01-18,569,523.2795303545583,,
2022-01-19,569,523.2045871933533,,
2022-01-20,569,523.129870656301,,
2022-01-21,574,523.0553800581022,,
2022-01-22,574,522.9811147155295,,
2022-01-23,575,522.907073947422,,
2022-01-24,574,522.8332570746784,,
2022-01-25,573,522.7596634202508,,
2022-01-26,574,522.686292309139,,
2022-01-27,574,522.6131430683838,,
2022-01-28,575,522.5402150270609,,
2022-01-29,572,522.4675075162748,,
2022-01-30,574,522.3950198691532,,
2022-01-31,576,522.3227514208397,,
2022-02-01,576,522.2507015084888,,551.7494443376402
2022-02-02,578,522.1788694712593,,
2022-02-03,577,522.1072546503084,,
2022-02-04,578,522.0358563887855,,
2022-02-05,579,521.9646740318265,,
2022-02-06,577,521.8937069265472,,
2022-02-07,577,521.8229544220382,,
2022-02-08,575,521.7524158693578,,
2022-02-09,573,521.6820906215272,,
2022-02-10,573,521.6119780335239,,
2022-02-11,571,521.5420774622756,,
2022-02-12,572,521.4723882666551,,
2022-02-13,573,521.4029098074735,,
2022-02-14,571,521.3336414474751,,
2022-02-15,579,521.2645825513309,,
2022-02-16,581,521.1957324856336,,
2022-02-17,585,521.1270906188906,,
2022-02-18,590,521.0586563215196,,
2022-02-19,594,520.9904289658417,,
2022-02-20,599,520.9224079260762,,
2022-02-21,601,520.8545925783345,,
2022-02-22,602,520.7869823006151,,
2022-02-23,606,520.7195764727969,,
2022-02-24,609,520.6523744766343,,
2022-02-25,609,520.5853756957513,,
2022-02-26,610,520.5185795156353,,
2022-02-27,614,520.4519853236327,,
2022-02-28,614,520.3855925089418,,
2022-03-01,620,520.3194004626085,,549.81814329176
2022-03-02,622,520.2534085775198,,
2022-03-03,624,520.1876162483987,,
